date,program,text,sentiment,weekday
2021-07-29,Master Chef,Kommentar zu Master Chef am 2021-07-29,positive,Thursday
2021-07-30,Master Chef,Kommentar zu Master Chef am 2021-07-30,positive,Friday
2021-07-31,Master Chef,Kommentar zu Master Chef am 2021-07-31,positive,Saturday
2021-08-01,Master Chef,Kommentar zu Master Chef am 2021-08-01,neutral,Sunday
2021-08-02,Master Chef,Kommentar zu Master Chef am 2021-08-02,neutral,Monday
2021-08-03,Master Chef,Kommentar zu Master Chef am 2021-08-03,positive,Tuesday
2021-08-04,Master Chef,Kommentar zu Master Chef am 2021-08-04,positive,Wednesday
2021-08-05,Master Chef,Kommentar zu Master Chef am 2021-08-05,neutral,Thursday
2021-08-06,Master Chef,Kommentar zu Master Chef am 2021-08-06,neutral,Friday
2021-08-07,Master Chef,Kommentar zu Master Chef am 2021-08-07,positive,Saturday
2021-08-08,Master Chef,Kommentar zu Master Chef am 2021-08-08,positive,Sunday
2021-08-09,Master Chef,Kommentar zu Master Chef am 2021-08-09,positive,Monday
2021-08-10,Master Chef,Kommentar zu Master Chef am 2021-08-10,positive,Tuesday
2021-08-11,Master Chef,Kommentar zu Master Chef am 2021-08-11,positive,Wednesday
2021-08-12,Master Chef,Kommentar zu Master Chef am 2021-08-12,positive,Thursday
2021-08-13,Master Chef,Kommentar zu Master Chef am 2021-08-13,positive,Friday
2021-08-14,Master Chef,Kommentar zu Master Chef am 2021-08-14,positive,Saturday
2021-08-15,Master Chef,Kommentar zu Master Chef am 2021-08-15,positive,Sunday
2021-08-16,Master Chef,Kommentar zu Master Chef am 2021-08-16,negative,Monday
2021-08-17,Master Chef,Kommentar zu Master Chef am 2021-08-17,neutral,Tuesday
2021-08-18,Master Chef,Kommentar zu Master Chef am 2021-08-18,neutral,Wednesday
2021-08-19,Master Chef,Kommentar zu Master Chef am 2021-08-19,positive,Thursday
2021-08-20,Master Chef,Kommentar zu Master Chef am 2021-08-20,positive,Friday
2021-08-21,Master Chef,Kommentar zu Master Chef am 2021-08-21,positive,Saturday
2021-08-22,Master Chef,Kommentar zu Master Chef am 2021-08-22,positive,Sunday
2021-08-23,Master Chef,Kommentar zu Master Chef am 2021-08-23,negative,Monday
2021-08-24,Master Chef,Kommentar zu Master Chef am 2021-08-24,neutral,Tuesday
2021-08-25,Master Chef,Kommentar zu Master Chef am 2021-08-25,positive,Wednesday
2021-08-26,Master Chef,Kommentar zu Master Chef am 2021-08-26,positive,Thursday
2021-08-27,Master Chef,Kommentar zu Master Chef am 2021-08-27,positive,Friday
2021-08-28,Master Chef,Kommentar zu Master Chef am 2021-08-28,positive,Saturday
2021-08-29,Master Chef,Kommentar zu Master Chef am 2021-08-29,positive,Sunday
2021-08-30,Master Chef,Kommentar zu Master Chef am 2021-08-30,positive,Monday
2021-08-31,Master Chef,Kommentar zu Master Chef am 2021-08-31,positive,Tuesday
2021-09-01,Master Chef,Kommentar zu Master Chef am 2021-09-01,positive,Wednesday
2021-09-02,Master Chef,Kommentar zu Master Chef am 2021-09-02,positive,Thursday
2021-09-03,Master Chef,Kommentar zu Master Chef am 2021-09-03,positive,Friday
2021-09-04,Master Chef,Kommentar zu Master Chef am 2021-09-04,positive,Saturday
2021-09-05,Master Chef,Kommentar zu Master Chef am 2021-09-05,negative,Sunday
2021-09-06,Master Chef,Kommentar zu Master Chef am 2021-09-06,positive,Monday
2021-09-07,Master Chef,Kommentar zu Master Chef am 2021-09-07,positive,Tuesday
2021-09-08,Master Chef,Kommentar zu Master Chef am 2021-09-08,negative,Wednesday
2021-09-09,Master Chef,Kommentar zu Master Chef am 2021-09-09,positive,Thursday
2021-09-10,Master Chef,Kommentar zu Master Chef am 2021-09-10,positive,Friday
2021-09-11,Master Chef,Kommentar zu Master Chef am 2021-09-11,positive,Saturday
2021-09-12,Master Chef,Kommentar zu Master Chef am 2021-09-12,neutral,Sunday
2021-09-13,Master Chef,Kommentar zu Master Chef am 2021-09-13,positive,Monday
2021-09-14,Master Chef,Kommentar zu Master Chef am 2021-09-14,neutral,Tuesday
2021-09-15,Master Chef,Kommentar zu Master Chef am 2021-09-15,positive,Wednesday
2021-09-16,Master Chef,Kommentar zu Master Chef am 2021-09-16,positive,Thursday
2021-09-17,Master Chef,Kommentar zu Master Chef am 2021-09-17,positive,Friday
2021-09-18,Master Chef,Kommentar zu Master Chef am 2021-09-18,positive,Saturday
2021-09-19,Master Chef,Kommentar zu Master Chef am 2021-09-19,positive,Sunday
2021-09-20,Master Chef,Kommentar zu Master Chef am 2021-09-20,positive,Monday
2021-09-21,Master Chef,Kommentar zu Master Chef am 2021-09-21,positive,Tuesday
2021-09-22,Master Chef,Kommentar zu Master Chef am 2021-09-22,positive,Wednesday
2021-09-23,Master Chef,Kommentar zu Master Chef am 2021-09-23,positive,Thursday
2021-09-24,Master Chef,Kommentar zu Master Chef am 2021-09-24,positive,Friday
2021-09-25,Master Chef,Kommentar zu Master Chef am 2021-09-25,positive,Saturday
2021-09-26,Master Chef,Kommentar zu Master Chef am 2021-09-26,negative,Sunday
2021-09-27,Master Chef,Kommentar zu Master Chef am 2021-09-27,positive,Monday
2021-09-28,Master Chef,Kommentar zu Master Chef am 2021-09-28,positive,Tuesday
2021-09-29,Master Chef,Kommentar zu Master Chef am 2021-09-29,positive,Wednesday
2021-09-30,Master Chef,Kommentar zu Master Chef am 2021-09-30,positive,Thursday
2021-10-01,Master Chef,Kommentar zu Master Chef am 2021-10-01,positive,Friday
2021-10-02,Master Chef,Kommentar zu Master Chef am 2021-10-02,positive,Saturday
2021-10-03,Master Chef,Kommentar zu Master Chef am 2021-10-03,neutral,Sunday
2021-10-04,Master Chef,Kommentar zu Master Chef am 2021-10-04,positive,Monday
2021-10-05,Master Chef,Kommentar zu Master Chef am 2021-10-05,positive,Tuesday
2021-10-06,Master Chef,Kommentar zu Master Chef am 2021-10-06,positive,Wednesday
2021-10-07,Master Chef,Kommentar zu Master Chef am 2021-10-07,positive,Thursday
2021-10-08,Master Chef,Kommentar zu Master Chef am 2021-10-08,neutral,Friday
2021-10-09,Master Chef,Kommentar zu Master Chef am 2021-10-09,positive,Saturday
2021-10-10,Master Chef,Kommentar zu Master Chef am 2021-10-10,positive,Sunday
2021-10-11,Master Chef,Kommentar zu Master Chef am 2021-10-11,positive,Monday
2021-10-12,Master Chef,Kommentar zu Master Chef am 2021-10-12,neutral,Tuesday
2021-10-13,Master Chef,Kommentar zu Master Chef am 2021-10-13,positive,Wednesday
2021-10-14,Master Chef,Kommentar zu Master Chef am 2021-10-14,positive,Thursday
2021-10-15,Master Chef,Kommentar zu Master Chef am 2021-10-15,positive,Friday
2021-10-16,Master Chef,Kommentar zu Master Chef am 2021-10-16,neutral,Saturday
2021-10-17,Master Chef,Kommentar zu Master Chef am 2021-10-17,positive,Sunday
2021-10-18,Master Chef,Kommentar zu Master Chef am 2021-10-18,neutral,Monday
2021-10-19,Master Chef,Kommentar zu Master Chef am 2021-10-19,neutral,Tuesday
2021-10-20,Master Chef,Kommentar zu Master Chef am 2021-10-20,neutral,Wednesday
2021-10-21,Master Chef,Kommentar zu Master Chef am 2021-10-21,positive,Thursday
2021-10-22,Master Chef,Kommentar zu Master Chef am 2021-10-22,negative,Friday
2021-10-23,Master Chef,Kommentar zu Master Chef am 2021-10-23,negative,Saturday
2021-10-24,Master Chef,Kommentar zu Master Chef am 2021-10-24,positive,Sunday
2021-10-25,Master Chef,Kommentar zu Master Chef am 2021-10-25,negative,Monday
2021-10-26,Master Chef,Kommentar zu Master Chef am 2021-10-26,negative,Tuesday
2021-10-27,Master Chef,Kommentar zu Master Chef am 2021-10-27,positive,Wednesday
2021-10-28,Master Chef,Kommentar zu Master Chef am 2021-10-28,positive,Thursday
2021-10-29,Master Chef,Kommentar zu Master Chef am 2021-10-29,positive,Friday
2021-10-30,Master Chef,Kommentar zu Master Chef am 2021-10-30,positive,Saturday
2021-10-31,Master Chef,Kommentar zu Master Chef am 2021-10-31,positive,Sunday
2021-11-01,Master Chef,Kommentar zu Master Chef am 2021-11-01,positive,Monday
2021-11-02,Master Chef,Kommentar zu Master Chef am 2021-11-02,neutral,Tuesday
2021-11-03,Master Chef,Kommentar zu Master Chef am 2021-11-03,positive,Wednesday
2021-11-04,Master Chef,Kommentar zu Master Chef am 2021-11-04,negative,Thursday
2021-11-05,Master Chef,Kommentar zu Master Chef am 2021-11-05,positive,Friday
2021-11-06,Master Chef,Kommentar zu Master Chef am 2021-11-06,neutral,Saturday
2021-11-07,Master Chef,Kommentar zu Master Chef am 2021-11-07,negative,Sunday
2021-11-08,Master Chef,Kommentar zu Master Chef am 2021-11-08,positive,Monday
2021-11-09,Master Chef,Kommentar zu Master Chef am 2021-11-09,positive,Tuesday
2021-11-10,Master Chef,Kommentar zu Master Chef am 2021-11-10,positive,Wednesday
2021-11-11,Master Chef,Kommentar zu Master Chef am 2021-11-11,positive,Thursday
2021-11-12,Master Chef,Kommentar zu Master Chef am 2021-11-12,positive,Friday
2021-11-13,Master Chef,Kommentar zu Master Chef am 2021-11-13,positive,Saturday
2021-11-14,Master Chef,Kommentar zu Master Chef am 2021-11-14,positive,Sunday
2021-11-15,Master Chef,Kommentar zu Master Chef am 2021-11-15,positive,Monday
2021-11-16,Master Chef,Kommentar zu Master Chef am 2021-11-16,neutral,Tuesday
2021-11-17,Master Chef,Kommentar zu Master Chef am 2021-11-17,positive,Wednesday
2021-11-18,Master Chef,Kommentar zu Master Chef am 2021-11-18,positive,Thursday
2021-11-19,Master Chef,Kommentar zu Master Chef am 2021-11-19,negative,Friday
2021-11-20,Master Chef,Kommentar zu Master Chef am 2021-11-20,positive,Saturday
2021-11-21,Master Chef,Kommentar zu Master Chef am 2021-11-21,positive,Sunday
2021-11-22,Master Chef,Kommentar zu Master Chef am 2021-11-22,positive,Monday
2021-11-23,Master Chef,Kommentar zu Master Chef am 2021-11-23,positive,Tuesday
2021-11-24,Master Chef,Kommentar zu Master Chef am 2021-11-24,positive,Wednesday
2021-11-25,Master Chef,Kommentar zu Master Chef am 2021-11-25,positive,Thursday
2021-11-26,Master Chef,Kommentar zu Master Chef am 2021-11-26,positive,Friday
2021-11-27,Master Chef,Kommentar zu Master Chef am 2021-11-27,positive,Saturday
2021-11-28,Master Chef,Kommentar zu Master Chef am 2021-11-28,positive,Sunday
2021-11-29,Master Chef,Kommentar zu Master Chef am 2021-11-29,positive,Monday
2021-11-30,Master Chef,Kommentar zu Master Chef am 2021-11-30,positive,Tuesday
2021-12-01,Master Chef,Kommentar zu Master Chef am 2021-12-01,positive,Wednesday
2021-12-02,Master Chef,Kommentar zu Master Chef am 2021-12-02,positive,Thursday
2021-12-03,Master Chef,Kommentar zu Master Chef am 2021-12-03,positive,Friday
2021-12-04,Master Chef,Kommentar zu Master Chef am 2021-12-04,positive,Saturday
2021-12-05,Master Chef,Kommentar zu Master Chef am 2021-12-05,positive,Sunday
2021-12-06,Master Chef,Kommentar zu Master Chef am 2021-12-06,positive,Monday
2021-12-07,Master Chef,Kommentar zu Master Chef am 2021-12-07,positive,Tuesday
2021-12-08,Master Chef,Kommentar zu Master Chef am 2021-12-08,positive,Wednesday
2021-12-09,Master Chef,Kommentar zu Master Chef am 2021-12-09,positive,Thursday
2021-12-10,Master Chef,Kommentar zu Master Chef am 2021-12-10,positive,Friday
2021-12-11,Master Chef,Kommentar zu Master Chef am 2021-12-11,neutral,Saturday
2021-12-12,Master Chef,Kommentar zu Master Chef am 2021-12-12,positive,Sunday
2021-12-13,Master Chef,Kommentar zu Master Chef am 2021-12-13,positive,Monday
2021-12-14,Master Chef,Kommentar zu Master Chef am 2021-12-14,positive,Tuesday
2021-12-15,Master Chef,Kommentar zu Master Chef am 2021-12-15,positive,Wednesday
2021-12-16,Master Chef,Kommentar zu Master Chef am 2021-12-16,positive,Thursday
2021-12-17,Master Chef,Kommentar zu Master Chef am 2021-12-17,negative,Friday
2021-12-18,Master Chef,Kommentar zu Master Chef am 2021-12-18,positive,Saturday
2021-12-19,Master Chef,Kommentar zu Master Chef am 2021-12-19,positive,Sunday
2021-12-20,Master Chef,Kommentar zu Master Chef am 2021-12-20,positive,Monday
2021-12-21,Master Chef,Kommentar zu Master Chef am 2021-12-21,positive,Tuesday
2021-12-22,Master Chef,Kommentar zu Master Chef am 2021-12-22,negative,Wednesday
2021-12-23,Master Chef,Kommentar zu Master Chef am 2021-12-23,positive,Thursday
2021-12-24,Master Chef,Kommentar zu Master Chef am 2021-12-24,neutral,Friday
2021-12-25,Master Chef,Kommentar zu Master Chef am 2021-12-25,negative,Saturday
2021-12-26,Master Chef,Kommentar zu Master Chef am 2021-12-26,negative,Sunday
2021-12-27,Master Chef,Kommentar zu Master Chef am 2021-12-27,neutral,Monday
2021-12-28,Master Chef,Kommentar zu Master Chef am 2021-12-28,negative,Tuesday
2021-12-29,Master Chef,Kommentar zu Master Chef am 2021-12-29,positive,Wednesday
2021-12-30,Master Chef,Kommentar zu Master Chef am 2021-12-30,negative,Thursday
2021-12-31,Master Chef,Kommentar zu Master Chef am 2021-12-31,positive,Friday
2022-01-01,Master Chef,Kommentar zu Master Chef am 2022-01-01,neutral,Saturday
2022-01-02,Master Chef,Kommentar zu Master Chef am 2022-01-02,negative,Sunday
2022-01-03,Master Chef,Kommentar zu Master Chef am 2022-01-03,positive,Monday
2022-01-04,Master Chef,Kommentar zu Master Chef am 2022-01-04,positive,Tuesday
2022-01-05,Master Chef,Kommentar zu Master Chef am 2022-01-05,positive,Wednesday
2022-01-06,Master Chef,Kommentar zu Master Chef am 2022-01-06,positive,Thursday
2022-01-07,Master Chef,Kommentar zu Master Chef am 2022-01-07,positive,Friday
2022-01-08,Master Chef,Kommentar zu Master Chef am 2022-01-08,positive,Saturday
2022-01-09,Master Chef,Kommentar zu Master Chef am 2022-01-09,positive,Sunday
2022-01-10,Master Chef,Kommentar zu Master Chef am 2022-01-10,positive,Monday
2022-01-11,Master Chef,Kommentar zu Master Chef am 2022-01-11,positive,Tuesday
2022-01-12,Master Chef,Kommentar zu Master Chef am 2022-01-12,neutral,Wednesday
2022-01-13,Master Chef,Kommentar zu Master Chef am 2022-01-13,negative,Thursday
2022-01-14,Master Chef,Kommentar zu Master Chef am 2022-01-14,positive,Friday
2022-01-15,Master Chef,Kommentar zu Master Chef am 2022-01-15,positive,Saturday
2022-01-16,Master Chef,Kommentar zu Master Chef am 2022-01-16,neutral,Sunday
2022-01-17,Master Chef,Kommentar zu Master Chef am 2022-01-17,positive,Monday
2022-01-18,Master Chef,Kommentar zu Master Chef am 2022-01-18,positive,Tuesday
2022-01-19,Master Chef,Kommentar zu Master Chef am 2022-01-19,positive,Wednesday
2022-01-20,Master Chef,Kommentar zu Master Chef am 2022-01-20,positive,Thursday
2022-01-21,Master Chef,Kommentar zu Master Chef am 2022-01-21,positive,Friday
2022-01-22,Master Chef,Kommentar zu Master Chef am 2022-01-22,positive,Saturday
2022-01-23,Master Chef,Kommentar zu Master Chef am 2022-01-23,neutral,Sunday
2022-01-24,Master Chef,Kommentar zu Master Chef am 2022-01-24,neutral,Monday
2022-01-25,Master Chef,Kommentar zu Master Chef am 2022-01-25,positive,Tuesday
2022-01-26,Master Chef,Kommentar zu Master Chef am 2022-01-26,positive,Wednesday
2022-01-27,Master Chef,Kommentar zu Master Chef am 2022-01-27,positive,Thursday
2022-01-28,Master Chef,Kommentar zu Master Chef am 2022-01-28,positive,Friday
2022-01-29,Master Chef,Kommentar zu Master Chef am 2022-01-29,positive,Saturday
2022-01-30,Master Chef,Kommentar zu Master Chef am 2022-01-30,neutral,Sunday
2022-01-31,Master Chef,Kommentar zu Master Chef am 2022-01-31,positive,Monday
2022-02-01,Master Chef,Kommentar zu Master Chef am 2022-02-01,positive,Tuesday
2022-02-02,Master Chef,Kommentar zu Master Chef am 2022-02-02,positive,Wednesday
2022-02-03,Master Chef,Kommentar zu Master Chef am 2022-02-03,positive,Thursday
2022-02-04,Master Chef,Kommentar zu Master Chef am 2022-02-04,positive,Friday
2022-02-05,Master Chef,Kommentar zu Master Chef am 2022-02-05,positive,Saturday
2022-02-06,Master Chef,Kommentar zu Master Chef am 2022-02-06,neutral,Sunday
2022-02-07,Master Chef,Kommentar zu Master Chef am 2022-02-07,positive,Monday
2022-02-08,Master Chef,Kommentar zu Master Chef am 2022-02-08,neutral,Tuesday
2022-02-09,Master Chef,Kommentar zu Master Chef am 2022-02-09,positive,Wednesday
2022-02-10,Master Chef,Kommentar zu Master Chef am 2022-02-10,neutral,Thursday
2022-02-11,Master Chef,Kommentar zu Master Chef am 2022-02-11,positive,Friday
2022-02-12,Master Chef,Kommentar zu Master Chef am 2022-02-12,positive,Saturday
2022-02-13,Master Chef,Kommentar zu Master Chef am 2022-02-13,positive,Sunday
2022-02-14,Master Chef,Kommentar zu Master Chef am 2022-02-14,positive,Monday
2022-02-15,Master Chef,Kommentar zu Master Chef am 2022-02-15,positive,Tuesday
2022-02-16,Master Chef,Kommentar zu Master Chef am 2022-02-16,negative,Wednesday
2022-02-17,Master Chef,Kommentar zu Master Chef am 2022-02-17,positive,Thursday
2022-02-18,Master Chef,Kommentar zu Master Chef am 2022-02-18,positive,Friday
2022-02-19,Master Chef,Kommentar zu Master Chef am 2022-02-19,positive,Saturday
2022-02-20,Master Chef,Kommentar zu Master Chef am 2022-02-20,positive,Sunday
2022-02-21,Master Chef,Kommentar zu Master Chef am 2022-02-21,positive,Monday
2022-02-22,Master Chef,Kommentar zu Master Chef am 2022-02-22,positive,Tuesday
2022-02-23,Master Chef,Kommentar zu Master Chef am 2022-02-23,neutral,Wednesday
2022-02-24,Master Chef,Kommentar zu Master Chef am 2022-02-24,negative,Thursday
2022-02-25,Master Chef,Kommentar zu Master Chef am 2022-02-25,positive,Friday
2022-02-26,Master Chef,Kommentar zu Master Chef am 2022-02-26,positive,Saturday
2022-02-27,Master Chef,Kommentar zu Master Chef am 2022-02-27,positive,Sunday
2022-02-28,Master Chef,Kommentar zu Master Chef am 2022-02-28,positive,Monday
2022-03-01,Master Chef,Kommentar zu Master Chef am 2022-03-01,positive,Tuesday
2022-03-02,Master Chef,Kommentar zu Master Chef am 2022-03-02,negative,Wednesday
2022-03-03,Master Chef,Kommentar zu Master Chef am 2022-03-03,positive,Thursday
2022-03-04,Master Chef,Kommentar zu Master Chef am 2022-03-04,positive,Friday
2022-03-05,Master Chef,Kommentar zu Master Chef am 2022-03-05,positive,Saturday
2022-03-06,Master Chef,Kommentar zu Master Chef am 2022-03-06,positive,Sunday
2022-03-07,Master Chef,Kommentar zu Master Chef am 2022-03-07,positive,Monday
2022-03-08,Master Chef,Kommentar zu Master Chef am 2022-03-08,positive,Tuesday
2022-03-09,Master Chef,Kommentar zu Master Chef am 2022-03-09,negative,Wednesday
2022-03-10,Master Chef,Kommentar zu Master Chef am 2022-03-10,positive,Thursday
2022-03-11,Master Chef,Kommentar zu Master Chef am 2022-03-11,positive,Friday
2022-03-12,Master Chef,Kommentar zu Master Chef am 2022-03-12,positive,Saturday
2022-03-13,Master Chef,Kommentar zu Master Chef am 2022-03-13,neutral,Sunday
2022-03-14,Master Chef,Kommentar zu Master Chef am 2022-03-14,positive,Monday
2022-03-15,Master Chef,Kommentar zu Master Chef am 2022-03-15,positive,Tuesday
2022-03-16,Master Chef,Kommentar zu Master Chef am 2022-03-16,negative,Wednesday
2022-03-17,Master Chef,Kommentar zu Master Chef am 2022-03-17,positive,Thursday
2022-03-18,Master Chef,Kommentar zu Master Chef am 2022-03-18,positive,Friday
2022-03-19,Master Chef,Kommentar zu Master Chef am 2022-03-19,positive,Saturday
2022-03-20,Master Chef,Kommentar zu Master Chef am 2022-03-20,positive,Sunday
2022-03-21,Master Chef,Kommentar zu Master Chef am 2022-03-21,neutral,Monday
2022-03-22,Master Chef,Kommentar zu Master Chef am 2022-03-22,neutral,Tuesday
2022-03-23,Master Chef,Kommentar zu Master Chef am 2022-03-23,positive,Wednesday
2022-03-24,Master Chef,Kommentar zu Master Chef am 2022-03-24,neutral,Thursday
2022-03-25,Master Chef,Kommentar zu Master Chef am 2022-03-25,positive,Friday
2022-03-26,Master Chef,Kommentar zu Master Chef am 2022-03-26,positive,Saturday
2022-03-27,Master Chef,Kommentar zu Master Chef am 2022-03-27,positive,Sunday
2022-03-28,Master Chef,Kommentar zu Master Chef am 2022-03-28,neutral,Monday
2022-03-29,Master Chef,Kommentar zu Master Chef am 2022-03-29,positive,Tuesday
2022-03-30,Master Chef,Kommentar zu Master Chef am 2022-03-30,neutral,Wednesday
2022-03-31,Master Chef,Kommentar zu Master Chef am 2022-03-31,positive,Thursday
2022-04-01,Master Chef,Kommentar zu Master Chef am 2022-04-01,positive,Friday
2022-04-02,Master Chef,Kommentar zu Master Chef am 2022-04-02,neutral,Saturday
2022-04-03,Master Chef,Kommentar zu Master Chef am 2022-04-03,positive,Sunday
2022-04-04,Master Chef,Kommentar zu Master Chef am 2022-04-04,positive,Monday
2022-04-05,Master Chef,Kommentar zu Master Chef am 2022-04-05,neutral,Tuesday
2022-04-06,Master Chef,Kommentar zu Master Chef am 2022-04-06,positive,Wednesday
2022-04-07,Master Chef,Kommentar zu Master Chef am 2022-04-07,positive,Thursday
2022-04-08,Master Chef,Kommentar zu Master Chef am 2022-04-08,positive,Friday
2022-04-09,Master Chef,Kommentar zu Master Chef am 2022-04-09,positive,Saturday
2022-04-10,Master Chef,Kommentar zu Master Chef am 2022-04-10,neutral,Sunday
2022-04-11,Master Chef,Kommentar zu Master Chef am 2022-04-11,positive,Monday
2022-04-12,Master Chef,Kommentar zu Master Chef am 2022-04-12,neutral,Tuesday
2022-04-13,Master Chef,Kommentar zu Master Chef am 2022-04-13,positive,Wednesday
2022-04-14,Master Chef,Kommentar zu Master Chef am 2022-04-14,positive,Thursday
2022-04-15,Master Chef,Kommentar zu Master Chef am 2022-04-15,negative,Friday
2022-04-16,Master Chef,Kommentar zu Master Chef am 2022-04-16,positive,Saturday
2022-04-17,Master Chef,Kommentar zu Master Chef am 2022-04-17,positive,Sunday
2022-04-18,Master Chef,Kommentar zu Master Chef am 2022-04-18,positive,Monday
2022-04-19,Master Chef,Kommentar zu Master Chef am 2022-04-19,positive,Tuesday
2022-04-20,Master Chef,Kommentar zu Master Chef am 2022-04-20,positive,Wednesday
2022-04-21,Master Chef,Kommentar zu Master Chef am 2022-04-21,positive,Thursday
2022-04-22,Master Chef,Kommentar zu Master Chef am 2022-04-22,positive,Friday
2022-04-23,Master Chef,Kommentar zu Master Chef am 2022-04-23,neutral,Saturday
2022-04-24,Master Chef,Kommentar zu Master Chef am 2022-04-24,positive,Sunday
2022-04-25,Master Chef,Kommentar zu Master Chef am 2022-04-25,negative,Monday
2022-04-26,Master Chef,Kommentar zu Master Chef am 2022-04-26,negative,Tuesday
2022-04-27,Master Chef,Kommentar zu Master Chef am 2022-04-27,positive,Wednesday
2022-04-28,Master Chef,Kommentar zu Master Chef am 2022-04-28,neutral,Thursday
2022-04-29,Master Chef,Kommentar zu Master Chef am 2022-04-29,negative,Friday
2022-04-30,Master Chef,Kommentar zu Master Chef am 2022-04-30,positive,Saturday
2022-05-01,Master Chef,Kommentar zu Master Chef am 2022-05-01,neutral,Sunday
2022-05-02,Master Chef,Kommentar zu Master Chef am 2022-05-02,negative,Monday
2022-05-03,Master Chef,Kommentar zu Master Chef am 2022-05-03,positive,Tuesday
2022-05-04,Master Chef,Kommentar zu Master Chef am 2022-05-04,positive,Wednesday
2022-05-05,Master Chef,Kommentar zu Master Chef am 2022-05-05,positive,Thursday
2022-05-06,Master Chef,Kommentar zu Master Chef am 2022-05-06,neutral,Friday
2022-05-07,Master Chef,Kommentar zu Master Chef am 2022-05-07,positive,Saturday
2022-05-08,Master Chef,Kommentar zu Master Chef am 2022-05-08,positive,Sunday
2022-05-09,Master Chef,Kommentar zu Master Chef am 2022-05-09,positive,Monday
2022-05-10,Master Chef,Kommentar zu Master Chef am 2022-05-10,positive,Tuesday
2022-05-11,Master Chef,Kommentar zu Master Chef am 2022-05-11,positive,Wednesday
2022-05-12,Master Chef,Kommentar zu Master Chef am 2022-05-12,positive,Thursday
2022-05-13,Master Chef,Kommentar zu Master Chef am 2022-05-13,positive,Friday
2022-05-14,Master Chef,Kommentar zu Master Chef am 2022-05-14,positive,Saturday
2022-05-15,Master Chef,Kommentar zu Master Chef am 2022-05-15,positive,Sunday
2022-05-16,Master Chef,Kommentar zu Master Chef am 2022-05-16,positive,Monday
2022-05-17,Master Chef,Kommentar zu Master Chef am 2022-05-17,positive,Tuesday
2022-05-18,Master Chef,Kommentar zu Master Chef am 2022-05-18,positive,Wednesday
2022-05-19,Master Chef,Kommentar zu Master Chef am 2022-05-19,positive,Thursday
2022-05-20,Master Chef,Kommentar zu Master Chef am 2022-05-20,neutral,Friday
2022-05-21,Master Chef,Kommentar zu Master Chef am 2022-05-21,positive,Saturday
2022-05-22,Master Chef,Kommentar zu Master Chef am 2022-05-22,positive,Sunday
2022-05-23,Master Chef,Kommentar zu Master Chef am 2022-05-23,positive,Monday
2022-05-24,Master Chef,Kommentar zu Master Chef am 2022-05-24,neutral,Tuesday
2022-05-25,Master Chef,Kommentar zu Master Chef am 2022-05-25,positive,Wednesday
2022-05-26,Master Chef,Kommentar zu Master Chef am 2022-05-26,positive,Thursday
2022-05-27,Master Chef,Kommentar zu Master Chef am 2022-05-27,neutral,Friday
2022-05-28,Master Chef,Kommentar zu Master Chef am 2022-05-28,positive,Saturday
2022-05-29,Master Chef,Kommentar zu Master Chef am 2022-05-29,positive,Sunday
2022-05-30,Master Chef,Kommentar zu Master Chef am 2022-05-30,positive,Monday
2022-05-31,Master Chef,Kommentar zu Master Chef am 2022-05-31,positive,Tuesday
2022-06-01,Master Chef,Kommentar zu Master Chef am 2022-06-01,positive,Wednesday
2022-06-02,Master Chef,Kommentar zu Master Chef am 2022-06-02,positive,Thursday
2022-06-03,Master Chef,Kommentar zu Master Chef am 2022-06-03,positive,Friday
2022-06-04,Master Chef,Kommentar zu Master Chef am 2022-06-04,positive,Saturday
2022-06-05,Master Chef,Kommentar zu Master Chef am 2022-06-05,neutral,Sunday
2022-06-06,Master Chef,Kommentar zu Master Chef am 2022-06-06,positive,Monday
2022-06-07,Master Chef,Kommentar zu Master Chef am 2022-06-07,negative,Tuesday
2022-06-08,Master Chef,Kommentar zu Master Chef am 2022-06-08,negative,Wednesday
2022-06-09,Master Chef,Kommentar zu Master Chef am 2022-06-09,positive,Thursday
2022-06-10,Master Chef,Kommentar zu Master Chef am 2022-06-10,positive,Friday
2022-06-11,Master Chef,Kommentar zu Master Chef am 2022-06-11,positive,Saturday
2022-06-12,Master Chef,Kommentar zu Master Chef am 2022-06-12,neutral,Sunday
2022-06-13,Master Chef,Kommentar zu Master Chef am 2022-06-13,neutral,Monday
2022-06-14,Master Chef,Kommentar zu Master Chef am 2022-06-14,positive,Tuesday
2022-06-15,Master Chef,Kommentar zu Master Chef am 2022-06-15,positive,Wednesday
2022-06-16,Master Chef,Kommentar zu Master Chef am 2022-06-16,neutral,Thursday
2022-06-17,Master Chef,Kommentar zu Master Chef am 2022-06-17,positive,Friday
2022-06-18,Master Chef,Kommentar zu Master Chef am 2022-06-18,positive,Saturday
2022-06-19,Master Chef,Kommentar zu Master Chef am 2022-06-19,neutral,Sunday
2022-06-20,Master Chef,Kommentar zu Master Chef am 2022-06-20,positive,Monday
2022-06-21,Master Chef,Kommentar zu Master Chef am 2022-06-21,neutral,Tuesday
2022-06-22,Master Chef,Kommentar zu Master Chef am 2022-06-22,neutral,Wednesday
2022-06-23,Master Chef,Kommentar zu Master Chef am 2022-06-23,negative,Thursday
2022-06-24,Master Chef,Kommentar zu Master Chef am 2022-06-24,positive,Friday
